,ticker,date,volume
10,AAP,2015-04-10,-0.0344827586
28,AN,2015-04-10,0.0344827586
72,BJRI,2015-04-10,-0.0344827586
119,BWLD,2015-04-10,-0.0344827586
128,CAB,2015-04-10,0.0344827586
137,CAKE,2015-04-10,-0.0344827586
182,CHEF,2015-04-10,0.0344827586
191,CHUY,2015-04-10,0.0344827586
200,CMG,2015-04-10,0.0344827586
236,CVS,2015-04-10,-0.0344827586
254,DFRG,2015-04-10,-0.0344827586
428,HVT,2015-04-10,0.0344827586
437,HZO,2015-04-10,0.0344827586
520,LL,2015-04-10,-0.0344827586
547,MCD,2015-04-10,0.0344827586
565,MNRO,2015-04-10,-0.0344827586
574,MUSA,2015-04-10,-0.0344827586
592,ORLY,2015-04-10,0.0344827586
662,RCII,2015-04-10,-0.0344827586
689,RRGB,2015-04-10,-0.0344827586
698,RUSHA,2015-04-10,0.0344827586
707,RUTH,2015-04-10,-0.0344827586
735,SEAS,2015-04-10,0.0344827586
744,SFM,2015-04-10,0.0344827586
859,TTS,2015-04-10,0.0344827586
868,TUES,2015-04-10,0.0344827586
877,TXRH,2015-04-10,-0.0344827586
886,WEN,2015-04-10,0.0344827586
913,WOOF,2015-04-10,0.0344827586
101,AAP,2015-05-21,close all
281,AN,2015-04-22,close all
721,BJRI,2015-04-24,close all
1191,BWLD,2015-04-29,close all
1281,CAB,2015-04-23,close all
1371,CAKE,2015-04-23,close all
1821,CHEF,2015-05-07,close all
1911,CHUY,2015-05-05,close all
2001,CMG,2015-04-22,close all
2361,CVS,2015-05-01,close all
2541,DFRG,2015-04-28,close all
4281,HVT,2015-05-05,close all
4371,HZO,2015-04-23,close all
5201,LL,2015-04-29,close all
5471,MCD,2015-04-22,close all
5651,MNRO,2015-05-21,close all
5741,MUSA,2015-05-05,close all
5921,ORLY,2015-04-23,close all
6621,RCII,2015-04-28,close all
6891,RRGB,2015-05-19,close all
6981,RUSHA,2015-04-22,close all
7071,RUTH,2015-05-01,close all
7351,SEAS,2015-05-07,close all
7441,SFM,2015-05-08,close all
8591,TTS,2015-04-21,close all
8681,TUES,2015-05-01,close all
8771,TXRH,2015-05-05,close all
8861,WEN,2015-05-06,close all
9131,WOOF,2015-04-29,close all
29,AN,2015-07-10,-0.0333333333
73,BJRI,2015-07-10,-0.0333333333
120,BWLD,2015-07-10,0.0333333333
129,CAB,2015-07-10,0.0333333333
138,CAKE,2015-07-10,-0.0333333333
183,CHEF,2015-07-10,-0.0333333333
192,CHUY,2015-07-10,-0.0333333333
201,CMG,2015-07-10,-0.0333333333
237,CVS,2015-07-10,0.0333333333
255,DFRG,2015-07-10,0.0333333333
429,HVT,2015-07-10,0.0333333333
438,HZO,2015-07-10,-0.0333333333
455,JACK,2015-07-10,-0.0333333333
521,LL,2015-07-10,-0.0333333333
548,MCD,2015-07-10,-0.0333333333
566,MNRO,2015-07-10,-0.0333333333
575,MUSA,2015-07-10,-0.0333333333
593,ORLY,2015-07-10,-0.0333333333
611,PBPB,2015-07-10,-0.0333333333
663,RCII,2015-07-10,0.0333333333
690,RRGB,2015-07-10,0.0333333333
699,RUSHA,2015-07-10,-0.0333333333
708,RUTH,2015-07-10,-0.0333333333
736,SEAS,2015-07-10,-0.0333333333
745,SFM,2015-07-10,-0.0333333333
860,TTS,2015-07-10,0.0333333333
869,TUES,2015-07-10,-0.0333333333
878,TXRH,2015-07-10,0.0333333333
887,WEN,2015-07-10,-0.0333333333
914,WOOF,2015-07-10,0.0333333333
291,AN,2015-07-22,close all
731,BJRI,2015-07-24,close all
1201,BWLD,2015-07-29,close all
1291,CAB,2015-07-23,close all
1381,CAKE,2015-07-23,close all
1831,CHEF,2015-07-31,close all
1921,CHUY,2015-08-05,close all
2011,CMG,2015-07-22,close all
2371,CVS,2015-08-04,close all
2551,DFRG,2015-07-23,close all
4291,HVT,2015-07-30,close all
4381,HZO,2015-07-22,close all
4551,JACK,2015-08-06,close all
5211,LL,2015-08-05,close all
5481,MCD,2015-07-23,close all
5661,MNRO,2015-07-23,close all
5751,MUSA,2015-08-06,close all
5931,ORLY,2015-07-30,close all
6111,PBPB,2015-08-05,close all
6631,RCII,2015-07-28,close all
6901,RRGB,2015-08-11,close all
6991,RUSHA,2015-07-22,close all
7081,RUTH,2015-07-31,close all
7361,SEAS,2015-08-06,close all
7451,SFM,2015-08-07,close all
8601,TTS,2015-07-21,close all
8691,TUES,2015-08-21,close all
8781,TXRH,2015-08-04,close all
8871,WEN,2015-08-05,close all
9141,WOOF,2015-07-29,close all
3,AAN,2015-10-10,-0.0227272727
12,AAP,2015-10-10,0.0227272727
30,AN,2015-10-10,-0.0227272727
74,BJRI,2015-10-10,0.0227272727
94,BLMN,2015-10-10,0.0227272727
121,BWLD,2015-10-10,-0.0227272727
130,CAB,2015-10-10,-0.0227272727
139,CAKE,2015-10-10,-0.0227272727
148,CAR,2015-10-10,-0.0227272727
184,CHEF,2015-10-10,-0.0227272727
193,CHUY,2015-10-10,0.0227272727
202,CMG,2015-10-10,-0.0227272727
238,CVS,2015-10-10,0.0227272727
256,DFRG,2015-10-10,0.0227272727
292,DNKN,2015-10-10,0.0227272727
354,FRGI,2015-10-10,-0.0227272727
363,FUN,2015-10-10,0.0227272727
430,HVT,2015-10-10,-0.0227272727
439,HZO,2015-10-10,-0.0227272727
456,JACK,2015-10-10,-0.0227272727
504,LAD,2015-10-10,-0.0227272727
522,LL,2015-10-10,-0.0227272727
549,MCD,2015-10-10,-0.0227272727
567,MNRO,2015-10-10,-0.0227272727
576,MUSA,2015-10-10,-0.0227272727
594,ORLY,2015-10-10,-0.0227272727
603,PAG,2015-10-10,-0.0227272727
612,PBPB,2015-10-10,-0.0227272727
647,PZZA,2015-10-10,0.0227272727
664,RCII,2015-10-10,0.0227272727
691,RRGB,2015-10-10,0.0227272727
700,RUSHA,2015-10-10,-0.0227272727
709,RUTH,2015-10-10,0.0227272727
718,SAH,2015-10-10,0.0227272727
727,SBH,2015-10-10,0.0227272727
737,SEAS,2015-10-10,-0.0227272727
746,SFM,2015-10-10,0.0227272727
773,SIX,2015-10-10,-0.0227272727
825,TA,2015-10-10,-0.0227272727
861,TTS,2015-10-10,0.0227272727
870,TUES,2015-10-10,-0.0227272727
879,TXRH,2015-10-10,0.0227272727
888,WEN,2015-10-10,0.0227272727
915,WOOF,2015-10-10,-0.0227272727
31,AAN,2015-10-30,close all
122,AAP,2015-11-12,close all
301,AN,2015-10-28,close all
741,BJRI,2015-10-23,close all
941,BLMN,2015-11-03,close all
1211,BWLD,2015-10-29,close all
1301,CAB,2015-10-22,close all
1391,CAKE,2015-10-27,close all
1481,CAR,2015-11-03,close all
1841,CHEF,2015-11-04,close all
1931,CHUY,2015-11-04,close all
2021,CMG,2015-10-21,close all
2381,CVS,2015-10-30,close all
2561,DFRG,2015-10-13,close all
2921,DNKN,2015-10-22,close all
3541,FRGI,2015-10-30,close all
3631,FUN,2015-11-05,close all
4301,HVT,2015-10-29,close all
4391,HZO,2015-11-03,close all
4561,JACK,2015-11-18,close all
5041,LAD,2015-10-21,close all
5221,LL,2015-11-04,close all
5491,MCD,2015-10-22,close all
5671,MNRO,2015-10-22,close all
5761,MUSA,2015-11-05,close all
5941,ORLY,2015-10-29,close all
6031,PAG,2015-10-29,close all
6121,PBPB,2015-11-04,close all
6471,PZZA,2015-11-04,close all
6641,RCII,2015-10-27,close all
6911,RRGB,2015-11-03,close all
7001,RUSHA,2015-10-21,close all
7091,RUTH,2015-10-30,close all
7181,SAH,2015-10-28,close all
7271,SBH,2015-11-12,close all
7371,SEAS,2015-11-05,close all
7461,SFM,2015-11-05,close all
7731,SIX,2015-10-20,close all
8251,TA,2015-11-09,close all
8611,TTS,2015-10-20,close all
8701,TUES,2015-10-30,close all
8791,TXRH,2015-11-03,close all
8881,WEN,2015-11-04,close all
9151,WOOF,2015-10-28,close all
4,AAN,2016-01-10,0.0222222222
13,AAP,2016-01-10,0.0222222222
311,AN,2016-01-10,-0.0222222222
75,BJRI,2016-01-10,0.0222222222
95,BLMN,2016-01-10,-0.0222222222
1221,BWLD,2016-01-10,-0.0222222222
131,CAB,2016-01-10,-0.0222222222
140,CAKE,2016-01-10,0.0222222222
149,CAR,2016-01-10,-0.0222222222
185,CHEF,2016-01-10,-0.0222222222
194,CHUY,2016-01-10,0.0222222222
203,CMG,2016-01-10,0.0222222222
239,CVS,2016-01-10,0.0222222222
257,DFRG,2016-01-10,-0.0222222222
293,DNKN,2016-01-10,0.0222222222
355,FRGI,2016-01-10,-0.0222222222
364,FUN,2016-01-10,-0.0222222222
431,HVT,2016-01-10,-0.0222222222
440,HZO,2016-01-10,0.0222222222
457,JACK,2016-01-10,-0.0222222222
505,LAD,2016-01-10,0.0222222222
523,LL,2016-01-10,-0.0222222222
550,MCD,2016-01-10,-0.0222222222
568,MNRO,2016-01-10,0.0222222222
