,ticker,date,volume
10,AAP,2015-04-10,-0.02
28,AN,2015-04-10,0.02
72,BJRI,2015-04-10,-0.02
119,BWLD,2015-04-10,-0.02
128,CAB,2015-04-10,0.02
137,CAKE,2015-04-10,-0.02
182,CHEF,2015-04-10,0.02
191,CHUY,2015-04-10,0.02
200,CMG,2015-04-10,0.02
236,CVS,2015-04-10,-0.02
254,DFRG,2015-04-10,-0.02
428,HVT,2015-04-10,0.02
437,HZO,2015-04-10,0.02
520,LL,2015-04-10,-0.02
547,MCD,2015-04-10,0.02
565,MNRO,2015-04-10,-0.02
574,MUSA,2015-04-10,-0.02
592,ORLY,2015-04-10,0.02
662,RCII,2015-04-10,-0.02
689,RRGB,2015-04-10,-0.02
698,RUSHA,2015-04-10,0.02
707,RUTH,2015-04-10,-0.02
735,SEAS,2015-04-10,0.02
744,SFM,2015-04-10,0.02
859,TTS,2015-04-10,0.02
868,TUES,2015-04-10,0.02
877,TXRH,2015-04-10,-0.02
886,WEN,2015-04-10,0.02
913,WOOF,2015-04-10,0.02
101,AAP,2015-05-21,close all
281,AN,2015-04-22,close all
721,BJRI,2015-04-24,close all
1191,BWLD,2015-04-29,close all
1281,CAB,2015-04-23,close all
1371,CAKE,2015-04-23,close all
1821,CHEF,2015-05-07,close all
1911,CHUY,2015-05-05,close all
2001,CMG,2015-04-22,close all
2361,CVS,2015-05-01,close all
2541,DFRG,2015-04-28,close all
4281,HVT,2015-05-05,close all
4371,HZO,2015-04-23,close all
5201,LL,2015-04-29,close all
5471,MCD,2015-04-22,close all
5651,MNRO,2015-05-21,close all
5741,MUSA,2015-05-05,close all
5921,ORLY,2015-04-23,close all
6621,RCII,2015-04-28,close all
6891,RRGB,2015-05-19,close all
6981,RUSHA,2015-04-22,close all
7071,RUTH,2015-05-01,close all
7351,SEAS,2015-05-07,close all
7441,SFM,2015-05-08,close all
8591,TTS,2015-04-21,close all
8681,TUES,2015-05-01,close all
8771,TXRH,2015-05-05,close all
8861,WEN,2015-05-06,close all
9131,WOOF,2015-04-29,close all
29,AN,2015-07-10,-0.02
73,BJRI,2015-07-10,-0.02
120,BWLD,2015-07-10,0.02
129,CAB,2015-07-10,0.02
138,CAKE,2015-07-10,-0.02
183,CHEF,2015-07-10,-0.02
192,CHUY,2015-07-10,-0.02
201,CMG,2015-07-10,-0.02
237,CVS,2015-07-10,0.02
255,DFRG,2015-07-10,0.02
429,HVT,2015-07-10,0.02
438,HZO,2015-07-10,-0.02
455,JACK,2015-07-10,-0.02
521,LL,2015-07-10,-0.02
548,MCD,2015-07-10,-0.02
566,MNRO,2015-07-10,-0.02
575,MUSA,2015-07-10,-0.02
593,ORLY,2015-07-10,-0.02
611,PBPB,2015-07-10,-0.02
663,RCII,2015-07-10,0.02
690,RRGB,2015-07-10,0.02
699,RUSHA,2015-07-10,-0.02
708,RUTH,2015-07-10,-0.02
736,SEAS,2015-07-10,-0.02
745,SFM,2015-07-10,-0.02
860,TTS,2015-07-10,0.02
869,TUES,2015-07-10,-0.02
878,TXRH,2015-07-10,0.02
887,WEN,2015-07-10,-0.02
914,WOOF,2015-07-10,0.02
291,AN,2015-07-22,close all
731,BJRI,2015-07-24,close all
1201,BWLD,2015-07-29,close all
1291,CAB,2015-07-23,close all
1381,CAKE,2015-07-23,close all
1831,CHEF,2015-07-31,close all
1921,CHUY,2015-08-05,close all
2011,CMG,2015-07-22,close all
2371,CVS,2015-08-04,close all
2551,DFRG,2015-07-23,close all
4291,HVT,2015-07-30,close all
4381,HZO,2015-07-22,close all
4551,JACK,2015-08-06,close all
5211,LL,2015-08-05,close all
5481,MCD,2015-07-23,close all
5661,MNRO,2015-07-23,close all
5751,MUSA,2015-08-06,close all
5931,ORLY,2015-07-30,close all
6111,PBPB,2015-08-05,close all
6631,RCII,2015-07-28,close all
