,ticker,date,volume
72,BJRI,2015-04-23,-0.1
721,BJRI,2015-04-24,close all
73,BJRI,2015-07-23,-0.1
731,BJRI,2015-07-24,close all
3,AAN,2015-10-29,-0.1
238,CVS,2015-10-29,0.1
354,FRGI,2015-10-29,-0.1
709,RUTH,2015-10-29,0.1
870,TUES,2015-10-29,-0.1
31,AAN,2015-10-30,close all
2381,CVS,2015-10-30,close all
3541,FRGI,2015-10-30,close all
7091,RUTH,2015-10-30,close all
8701,TUES,2015-10-30,close all
4,AAN,2016-02-17,0.1
131,CAB,2016-02-17,-0.1
457,JACK,2016-02-17,-0.1
774,SIX,2016-02-17,-0.1
907,WMT,2016-02-17,-0.1
41,AAN,2016-02-18,close all
1311,CAB,2016-02-18,close all
4571,JACK,2016-02-18,close all
7741,SIX,2016-02-18,close all
9071,WMT,2016-02-18,close all
5,AAN,2016-04-28,-0.1
872,TUES,2016-04-28,0.1
51,AAN,2016-04-29,close all
8721,TUES,2016-04-29,close all
6,AAN,2016-07-28,-0.1
33,AN,2016-07-28,-0.1
97,BLMN,2016-07-28,-0.1
712,RUTH,2016-07-28,-0.1
61,AAN,2016-07-29,close all
331,AN,2016-07-29,close all
971,BLMN,2016-07-29,close all
7121,RUTH,2016-07-29,close all
7,AAN,2016-10-27,0.1
34,AN,2016-10-27,-0.1
98,BLMN,2016-10-27,0.1
713,RUTH,2016-10-27,0.1
71,AAN,2016-10-28,close all
341,AN,2016-10-28,close all
981,BLMN,2016-10-28,close all
7131,RUTH,2016-10-28,close all
8,AAN,2017-02-16,0.1
99,BLMN,2017-02-16,-0.1
714,RUTH,2017-02-16,-0.1
81,AAN,2017-02-17,close all
991,BLMN,2017-02-17,close all
7141,RUTH,2017-02-17,close all
9,AAN,2017-04-27,-0.1
80,BJRI,2017-04-27,-0.1
921,WOOF,2017-04-27,-0.1
91,AAN,2017-04-28,close all
801,BJRI,2017-04-28,close all
9211,WOOF,2017-04-28,close all
10,AAP,2015-05-20,-0.1
54,BBY,2015-05-20,-0.1
811,BKE,2015-05-20,-0.1
164,CATO,2015-05-20,-0.1
281,DLTR,2015-05-20,0.1
511,LB,2015-05-20,-0.1
565,MNRO,2015-05-20,-0.1
734,SCVL,2015-05-20,0.1
780,SMRT,2015-05-20,-0.1
101,AAP,2015-05-21,close all
541,BBY,2015-05-21,close all
812,BKE,2015-05-21,close all
1641,CATO,2015-05-21,close all
2811,DLTR,2015-05-21,close all
5111,LB,2015-05-21,close all
5651,MNRO,2015-05-21,close all
7341,SCVL,2015-05-21,close all
7801,SMRT,2015-05-21,close all
246,DDS,2015-08-12,0.1
494,KSS,2015-08-12,0.1
2461,DDS,2015-08-13,close all
