"","ticker","quarter_end","iQuarter","tickerQ","signal_subrevenue","isRight","signal_theta","signal_RF","signal_perfect","signal_subrevenue2","announcement_date","sales","bbg","adj.Announcement.Date"
"1","aan us equity",2015-03-31,0,"aan0",-1,0,"1","-1",1,NA,"4/24/2015","821.814",794.143,"2015-04-23"
"2","aan us equity",2015-06-30,1,"aan1",1,1,"1","1",1,NA,"7/24/2015","769.049",763.875,"2015-07-23"
"3","aan us equity",2015-09-30,2,"aan2",-1,1,"1","1",-1,"-1","10/30/2015","767.694",779.75,"2015-10-29"
"4","aan us equity",2015-12-31,3,"aan3",1,1,"-1","-1",1,"1","2/18/2016","821.199",807,"2016-02-17"
"5","aan us equity",2016-03-31,4,"aan4",-1,1,"-1","-1",-1,"-1","4/29/2016","854.427",861.857,"2016-04-28"
"6","aan us equity",2016-06-30,5,"aan5",-1,1,"-1","-1",-1,"-1","7/29/2016","789.353",811,"2016-07-28"
"7","aan us equity",2016-09-30,6,"aan6",1,0,"1","1",-1,"1","10/28/2016","768.982",784.333,"2016-10-27"
"8","aan us equity",2016-12-31,7,"aan7",1,0,"1","1",-1,"1","2/17/2017","794.954",816.875,"2017-02-16"
"9","aan us equity",2017-03-31,8,"aan8",-1,0,"-1","-1",1,"-1","4/28/2017","844.554",831.375,"2017-04-27"
"10","aap us equity",2015-03-31,0,"aap0",-1,1,NA,NA,-1,"-1","5/21/2015","3038.233",3048.444,"2015-05-20"
"11","aap us equity",2015-06-30,1,"aap1",1,0,NA,NA,-1,NA,"8/13/2015","2370.037",2383.714,"2015-08-12"
"12","aap us equity",2015-09-30,2,"aap2",1,0,NA,NA,-1,"1","11/12/2015","2295.203",2326.947,"2015-11-11"
"13","aap us equity",2015-12-31,3,"aap3",1,0,NA,NA,-1,"1","2/11/2016","2033.545",2050.389,"2016-02-10"
"14","aap us equity",2016-03-31,4,"aap4",-1,1,NA,NA,-1,"-1","5/19/2016","2979.778",3006.625,"2016-05-18"
"15","aap us equity",2016-06-30,5,"aap5",1,1,NA,NA,1,"1","8/16/2016","2256.155",2243.556,"2016-08-15"
"16","aap us equity",2016-09-30,6,"aap6",1,1,NA,NA,1,"1","11/14/2016","2248.855",2198.263,"2016-11-14"
"17","aap us equity",2016-12-31,7,"aap7",1,1,NA,NA,1,"1","2/21/2017","2082.891",2016.286,"2017-02-20"
"18","aap us equity",2017-03-31,8,"aap8",-1,1,NA,NA,-1,"-1","5/24/2017","2890.838",2949.286,"2017-05-23"
"19","aeo us equity",2015-04-30,0,"aeo0",1,1,"-1","1",1,"1","5/20/2015","699.52",691.5,"2015-05-19"
"20","aeo us equity",2015-07-31,1,"aeo1",1,1,"1","1",1,"1","8/19/2015","797.428",769.44,"2015-08-18"
"21","aeo us equity",2015-10-31,2,"aeo2",-1,1,"-1","-1",-1,"-1","12/2/2015","919.072",928.167,"2015-12-02"
"22","aeo us equity",2016-01-31,3,"aeo3",-1,1,"-1","-1",-1,"-1","3/2/2016","1105.828",1116.762,"2016-03-02"
"23","aeo us equity",2016-04-30,4,"aeo4",1,1,"1","1",1,"1","5/18/2016","749.416",731.087,"2016-05-18"
"24","aeo us equity",2016-07-31,5,"aeo5",1,1,"1","1",1,"1","8/17/2016","822.594",819.9,"2016-08-16"
"25","aeo us equity",2016-10-31,6,"aeo6",-1,1,"-1","1",-1,"-1","11/30/2016","940.609",941.3,"2016-11-29"
"26","aeo us equity",2017-01-31,7,"aeo7",1,0,"-1","-1",-1,"1","3/1/2017","1097.246",1111.25,"2017-02-28"
"27","aeo us equity",2017-04-30,8,"aeo8",1,1,"1","1",1,"1","5/17/2017","761.836",741.778,"2017-05-16"
"28","an us equity",2015-03-31,0,"an0",1,1,"1","1",1,"1","4/22/2015","4944.2",4826,"2015-04-21"
"29","an us equity",2015-06-30,1,"an1",-1,1,"-1","-1",-1,"-1","7/22/2015","5224.3",5237.2,"2015-07-21"
"30","an us equity",2015-09-30,2,"an2",-1,0,"-1","-1",1,"-1","10/28/2015","5353.7",5347.917,"2015-10-27"
"31","an us equity",2015-12-31,3,"an3",-1,1,"-1","-1",-1,"-1","1/28/2016","5339.8",5437.833,"2016-01-27"
"32","an us equity",2016-03-31,4,"an4",1,0,"1","1",-1,"1","4/22/2016","5119.6",5295.462,"2016-04-21"
"33","an us equity",2016-06-30,5,"an5",-1,1,"-1","-1",-1,"-1","7/29/2016","5441.4",5494.917,"2016-07-28"
"34","an us equity",2016-09-30,6,"an6",-1,1,"-1","-1",-1,"-1","10/28/2016","5567.5",5611.692,"2016-10-27"
"35","an us equity",2016-12-31,7,"an7",-1,1,"-1","-1",-1,"-1","2/3/2017","5480.5",5615,"2017-02-02"
"36","an us equity",2017-03-31,8,"an8",1,0,"1","1",-1,"1","4/25/2017","5139.4",5318.077,"2017-04-24"
"37","azo us equity",2015-05-31,0,"azo0",1,0,NA,NA,-1,"1","5/26/2015","2493.021",2496.091,"2015-05-25"
"38","azo us equity",2015-08-31,1,"azo1",-1,0,NA,NA,1,"-1","9/22/2015","3290.404",3255.118,"2015-09-21"
"39","azo us equity",2015-11-30,2,"azo2",1,0,NA,NA,-1,"1","12/8/2015","2386.043",2390.389,"2015-12-07"
"40","azo us equity",2016-02-29,3,"azo3",1,0,NA,NA,-1,"1","3/1/2016","2257.192",2259,"2016-02-29"
"41","azo us equity",2016-05-31,4,"azo4",-1,1,NA,NA,-1,"-1","5/24/2016","2593.672",2630.059,"2016-05-23"
"42","azo us equity",2016-08-31,5,"azo5",-1,1,NA,NA,-1,"-1","9/22/2016","3398.769",3423.842,"2016-09-21"
"43","azo us equity",2016-11-30,6,"azo6",-1,1,NA,NA,-1,"-1","12/6/2016","2467.845",2487.889,"2016-12-05"
