,date,ticker,price,volume
0,2015-04-10,AAP,150.2,-133.155792277
1,2015-04-10,AN,65.46,305.530094714
2,2015-04-10,BJRI,50.93,-392.695857059
3,2015-04-10,BWLD,184.89,-108.172426848
4,2015-04-10,CAB,54.53,366.770584999
5,2015-04-10,CAKE,49.12,-407.166123779
6,2015-04-10,CHEF,21.57,927.213722763
7,2015-04-10,CHUY,23.65,845.665961945
8,2015-04-10,CMG,683.02,29.2817194226
9,2015-04-10,CVS,102.54,-195.045835771
10,2015-04-10,DFRG,20.3,-985.221674877
11,2015-04-10,HVT,22.72,880.281690141
12,2015-04-10,HZO,23.5,851.063829787
13,2015-04-10,LL,33.4,-598.80239521
14,2015-04-10,MCD,97.8,204.498977505
15,2015-04-10,MNRO,65.71,-304.367676153
16,2015-04-10,MUSA,72.31,-276.586917439
17,2015-04-10,ORLY,220.015,90.9028929846
18,2015-04-10,RCII,27.41,-729.660707771
19,2015-04-10,RRGB,84.89,-235.599010484
20,2015-04-10,RUSHA,27.36,730.994152047
21,2015-04-10,RUTH,15.45,-1294.49838188
22,2015-04-10,SEAS,20.27,986.679822398
23,2015-04-10,SFM,35.03,570.939194976
24,2015-04-10,TTS,12.54,1594.89633174
25,2015-04-10,TUES,16.28,1228.5012285
26,2015-04-10,TXRH,35.96,-556.17352614
27,2015-04-10,WEN,10.72,1865.67164179
28,2015-04-10,WOOF,54.29,368.391969055
29,2015-04-21,TTS,14.85,-1594.89633174
30,2015-04-22,AN,65.83,-305.530094714
31,2015-04-22,CMG,641.23,-29.2817194226
32,2015-04-22,MCD,97.84,-204.498977505
33,2015-04-22,RUSHA,27.16,-730.994152047
34,2015-04-23,CAB,57.32,-366.770584999
35,2015-04-23,CAKE,52.42,407.166123779
36,2015-04-23,HZO,24.4,-851.063829787
37,2015-04-23,ORLY,228.31,-90.9028929846
38,2015-04-24,BJRI,49.52,392.695857059
39,2015-04-28,DFRG,20.79,985.221674877
40,2015-04-28,RCII,30.71,729.660707771
41,2015-04-29,BWLD,160.25,108.172426848
42,2015-04-29,LL,26.76,598.80239521
43,2015-04-29,WOOF,52.75,-368.391969055
44,2015-05-01,CVS,100.46,195.045835771
45,2015-05-01,RUTH,15.22,1294.49838188
46,2015-05-01,TUES,14.24,-1228.5012285
47,2015-05-05,CHUY,26.06,-845.665961945
48,2015-05-05,HVT,21.41,-880.281690141
49,2015-05-05,MUSA,60.98,276.586917439
50,2015-05-05,TXRH,34.7,556.17352614
51,2015-05-06,WEN,11.185,-1865.67164179
52,2015-05-07,CHEF,19.99,-927.213722763
53,2015-05-07,SEAS,21.09,-986.679822398
54,2015-05-08,SFM,27.23,-570.939194976
55,2015-05-11,AEO,16.45,1296.10616617
56,2015-05-11,BBY,36.97,-576.709397712
57,2015-05-11,BIG,48.15,-442.802625824
58,2015-05-11,BKE,44.8,-475.913982889
59,2015-05-11,BOBE,45.59,467.667173359
60,2015-05-11,BURL,53.01,-402.206120231
61,2015-05-11,CATO,40.9,-521.294533825
62,2015-05-11,CBRL,136.43,156.277552103
63,2015-05-11,CONN,36.31,587.192135319
64,2015-05-11,CTRN,24.03,-887.263688449
65,2015-05-11,DDS,129.55,-164.576969768
66,2015-05-11,DG,74.84,-284.887044808
67,2015-05-11,DKS,55.99,-380.799186166
68,2015-05-11,DLTR,78.98,269.953740611
