,date,ticker,price,volume
0,2015-04-10,AAP,150.2,-229.578952064
1,2015-04-10,AN,65.46,526.776025053
2,2015-04-10,BJRI,50.93,-677.061822109
3,2015-04-10,BWLD,184.89,-186.504184109
4,2015-04-10,CAB,54.53,632.363077205
5,2015-04-10,CAKE,49.12,-702.010557818
6,2015-04-10,CHEF,21.57,1598.64434863
7,2015-04-10,CHUY,23.65,1458.0447611
8,2015-04-10,CMG,683.02,50.4857231121
9,2015-04-10,CVS,102.54,-336.285923542
10,2015-04-10,DFRG,20.3,-1698.65805911
11,2015-04-10,HVT,22.72,1517.72705106
12,2015-04-10,HZO,23.5,1467.35142979
13,2015-04-10,LL,33.4,-1032.41792216
14,2015-04-10,MCD,97.8,352.584443763
15,2015-04-10,MNRO,65.71,-524.771855121
16,2015-04-10,MUSA,72.31,-476.873995298
17,2015-04-10,ORLY,220.015,156.729125741
18,2015-04-10,RCII,27.41,-1258.0357023
19,2015-04-10,RRGB,84.89,-406.205190246
20,2015-04-10,RUSHA,27.36,1260.33474415
21,2015-04-10,RUTH,15.45,-2231.89376052
22,2015-04-10,SEAS,20.27,1701.17210656
23,2015-04-10,SFM,35.03,984.377921781
24,2015-04-10,TTS,12.54,2749.82125997
25,2015-04-10,TUES,16.28,2118.10556511
26,2015-04-10,TXRH,35.96,-958.91987208
27,2015-04-10,WEN,10.72,3216.67524254
28,2015-04-10,WOOF,54.29,635.158566955
29,2015-04-21,TTS,14.85,-2749.82125997
30,2015-04-22,AN,65.83,-526.776025053
31,2015-04-22,CMG,641.23,-50.4857231121
32,2015-04-22,MCD,97.84,-352.584443763
33,2015-04-22,RUSHA,27.16,-1260.33474415
34,2015-04-23,CAB,57.32,-632.363077205
35,2015-04-23,CAKE,52.42,702.010557818
36,2015-04-23,HZO,24.4,-1467.35142979
37,2015-04-23,ORLY,228.31,-156.729125741
38,2015-04-24,BJRI,49.52,677.061822109
39,2015-04-28,DFRG,20.79,1698.65805911
40,2015-04-28,RCII,30.71,1258.0357023
41,2015-04-29,BWLD,160.25,186.504184109
42,2015-04-29,LL,26.76,1032.41792216
43,2015-04-29,WOOF,52.75,-635.158566955
44,2015-05-01,CVS,100.46,336.285923542
45,2015-05-01,RUTH,15.22,2231.89376052
46,2015-05-01,TUES,14.24,-2118.10556511
47,2015-05-05,CHUY,26.06,-1458.0447611
48,2015-05-05,HVT,21.41,-1517.72705106
49,2015-05-05,MUSA,60.98,476.873995298
50,2015-05-05,TXRH,34.7,958.91987208
51,2015-05-06,WEN,11.185,-3216.67524254
52,2015-05-07,CHEF,19.99,-1598.64434863
53,2015-05-07,SEAS,21.09,-1701.17210656
54,2015-05-08,SFM,27.23,-984.377921781
55,2015-05-11,AEO,16.45,1880.90964769
56,2015-05-11,BBY,36.97,-836.920846753
57,2015-05-11,BIG,48.15,-642.595300196
58,2015-05-11,BKE,44.8,-690.64651126
59,2015-05-11,BOBE,45.59,678.678738856
60,2015-05-11,BURL,53.01,-583.681639397
61,2015-05-11,CATO,40.9,-756.50278006
62,2015-05-11,CBRL,136.43,226.790029352
63,2015-05-11,CONN,36.31,852.133398635
64,2015-05-11,CTRN,24.03,-1287.59732436
65,2015-05-11,DDS,129.55,-238.834146696
66,2015-05-11,DG,74.84,-413.428162807
67,2015-05-11,DKS,55.99,-552.615890417
68,2015-05-11,DLTR,78.98,391.756947385
69,2015-05-11,DSW,35.82,-863.790164836
70,2015-05-11,FIVE,34.76,-890.131291842
71,2015-05-11,FL,61.67,-501.718237465
72,2015-05-11,FRAN,17.0,-1820.0566885
73,2015-05-11,GME,39.76,-778.193252124
74,2015-05-11,GPS,39.87,-776.0462429
75,2015-05-11,HD,111.9,276.505484401
76,2015-05-11,HIBB,48.04,-644.066688269
77,2015-05-11,JCP,8.75,-3536.11013765
78,2015-05-11,JWN,76.97,-401.987315895
79,2015-05-11,KSS,74.3,-416.432889696
80,2015-05-11,LB,89.36,-346.250712897
81,2015-05-11,LOW,73.22,422.575303257
82,2015-05-11,M,66.03,-468.58948515
83,2015-05-11,PLCE,68.5,-451.692900795
84,2015-05-11,ROST,51.005,-606.626089686
85,2015-05-11,SCVL,26.82,1153.65263626
86,2015-05-11,SMRT,11.88,-2604.45822428
87,2015-05-11,SPLS,16.65,-1858.3161384
88,2015-05-11,TGT,80.61,-383.835302127
89,2015-05-11,TITN,14.19,-2180.47665289
90,2015-05-11,WMT,78.1,396.171110172
91,2015-05-13,M,63.73,468.58948515
92,2015-05-14,JCP,8.04,3536.11013765
93,2015-05-14,KSS,64.62,416.432889696
94,2015-05-14,PLCE,67.12,451.692900795
95,2015-05-15,DDS,115.46,238.834146696
96,2015-05-15,JWN,74.8,401.987315895
97,2015-05-19,RRGB,84.14,406.205190246
98,2015-05-19,DKS,53.43,552.615890417
99,2015-05-19,HD,112.34,-276.505484401
100,2015-05-19,WMT,76.43,-396.171110172
101,2015-05-20,AEO,16.61,-1880.90964769
102,2015-05-20,CTRN,24.68,1287.59732436
103,2015-05-20,LOW,68.5,-422.575303257
104,2015-05-20,SPLS,16.15,1858.3161384
105,2015-05-20,TGT,78.18,383.835302127
106,2015-05-21,AAP,157.5,229.578952064
107,2015-05-21,MNRO,59.03,524.771855121
108,2015-05-21,BBY,35.11,836.920846753
109,2015-05-21,BKE,43.1,690.64651126
110,2015-05-21,CATO,38.53,756.50278006
111,2015-05-21,DLTR,78.68,-391.756947385
112,2015-05-21,LB,88.46,346.250712897
113,2015-05-21,SCVL,27.85,-1153.65263626
114,2015-05-21,SMRT,11.16,2604.45822428
115,2015-05-22,FL,63.46,501.718237465
116,2015-05-22,GPS,38.01,776.0462429
