,date,ticker,price,volume
0,2015-04-10,AAP,150.2,-229.578952064
1,2015-04-10,AN,65.46,526.776025053
2,2015-04-10,BJRI,50.93,-677.061822109
3,2015-04-10,BWLD,184.89,-186.504184109
4,2015-04-10,CAB,54.53,632.363077205
5,2015-04-10,CAKE,49.12,-702.010557818
6,2015-04-10,CHEF,21.57,1598.64434863
7,2015-04-10,CHUY,23.65,1458.0447611
8,2015-04-10,CMG,683.02,50.4857231121
9,2015-04-10,CVS,102.54,-336.285923542
10,2015-04-10,DFRG,20.3,-1698.65805911
11,2015-04-10,HVT,22.72,1517.72705106
12,2015-04-10,HZO,23.5,1467.35142979
13,2015-04-10,LL,33.4,-1032.41792216
14,2015-04-10,MCD,97.8,352.584443763
15,2015-04-10,MNRO,65.71,-524.771855121
16,2015-04-10,MUSA,72.31,-476.873995298
17,2015-04-10,ORLY,220.015,156.729125741
18,2015-04-10,RCII,27.41,-1258.0357023
19,2015-04-10,RRGB,84.89,-406.205190246
20,2015-04-10,RUSHA,27.36,1260.33474415
21,2015-04-10,RUTH,15.45,-2231.89376052
22,2015-04-10,SEAS,20.27,1701.17210656
23,2015-04-10,SFM,35.03,984.377921781
24,2015-04-10,TTS,12.54,2749.82125997
25,2015-04-10,TUES,16.28,2118.10556511
26,2015-04-10,TXRH,35.96,-958.91987208
27,2015-04-10,WEN,10.72,3216.67524254
28,2015-04-10,WOOF,54.29,635.158566955
29,2015-04-20,TTS,12.56,-2749.82125997
30,2015-04-21,AN,64.9,-526.776025053
31,2015-04-21,CMG,692.52,-50.4857231121
32,2015-04-21,MCD,94.87,-352.584443763
33,2015-04-21,RUSHA,27.51,-1260.33474415
34,2015-04-22,CAB,53.76,-632.363077205
35,2015-04-22,CAKE,50.05,702.010557818
36,2015-04-22,HZO,26.69,-1467.35142979
37,2015-04-22,ORLY,216.67,-156.729125741
38,2015-04-23,BJRI,53.44,677.061822109
39,2015-04-27,DFRG,20.54,1698.65805911
40,2015-04-27,RCII,27.04,1258.0357023
41,2015-04-28,BWLD,183.7,186.504184109
42,2015-04-28,LL,33.42,1032.41792216
43,2015-04-28,WOOF,54.08,-635.158566955
44,2015-04-30,CVS,99.29,336.285923542
45,2015-04-30,RUTH,14.55,2231.89376052
46,2015-04-30,TUES,15.82,-2118.10556511
47,2015-05-04,CHUY,22.15,-1458.0447611
48,2015-05-04,HVT,21.37,-1517.72705106
49,2015-05-04,MUSA,66.25,476.873995298
50,2015-05-04,TXRH,33.67,958.91987208
51,2015-05-05,WEN,10.43,-3216.67524254
52,2015-05-06,CHEF,19.25,-1598.64434863
53,2015-05-06,SEAS,21.54,-1701.17210656
54,2015-05-07,SFM,30.21,-984.377921781
55,2015-05-11,AEO,16.45,1857.54498055
56,2015-05-11,BBY,36.97,-826.524612659
57,2015-05-11,BIG,48.15,-634.612978816
58,2015-05-11,BKE,44.8,-682.067297545
59,2015-05-11,BOBE,45.59,670.248188857
60,2015-05-11,BURL,53.01,-576.431143747
61,2015-05-11,CATO,40.9,-747.105499511
62,2015-05-11,CBRL,136.43,223.972842703
63,2015-05-11,CONN,36.31,841.548194162
64,2015-05-11,CTRN,24.03,-1271.60278527
65,2015-05-11,DDS,129.55,-235.867347974
66,2015-05-11,DG,74.84,-408.292556521
67,2015-05-11,DKS,55.99,-545.751293624
68,2015-05-11,DLTR,78.98,386.890541023
69,2015-05-11,DSW,35.82,-853.060159967
70,2015-05-11,FIVE,34.76,-879.074077388
71,2015-05-11,FL,61.67,-495.48589152
72,2015-05-11,FRAN,17.0,-1797.44793706
73,2015-05-11,GME,39.76,-768.526532445
74,2015-05-11,GPS,39.87,-766.406193379
75,2015-05-11,HD,111.9,273.070732172
76,2015-05-11,HIBB,48.04,-636.066089301
77,2015-05-11,JCP,8.75,-3492.18456343
78,2015-05-11,JWN,76.97,-396.993827855
79,2015-05-11,KSS,74.3,-411.259958681
80,2015-05-11,LB,89.36,-341.949585161
81,2015-05-11,LOW,73.22,417.326071156
82,2015-05-11,M,66.03,-462.768664698
83,2015-05-11,PLCE,68.5,-446.081969781
84,2015-05-11,ROST,51.005,-599.090577983
85,2015-05-11,SCVL,26.82,1139.32195861
86,2015-05-11,SMRT,11.88,-2572.10563384
87,2015-05-11,SPLS,16.65,-1835.23212793
88,2015-05-11,TGT,80.61,-379.067298474
89,2015-05-11,TITN,14.19,-2153.39076321
90,2015-05-11,WMT,78.1,391.249871063
91,2015-05-12,M,65.33,462.768664698
92,2015-05-13,JCP,8.71,3492.18456343
93,2015-05-13,KSS,74.51,411.259958681
94,2015-05-13,PLCE,67.84,446.081969781
95,2015-05-14,DDS,124.2,235.867347974
96,2015-05-14,JWN,74.15,396.993827855
97,2015-05-18,RRGB,72.95,406.205190246
98,2015-05-18,DKS,56.29,545.751293624
99,2015-05-18,HD,114.33,-273.070732172
100,2015-05-18,WMT,79.92,-391.249871063
101,2015-05-19,AEO,15.74,-1857.54498055
102,2015-05-19,CTRN,23.31,1271.60278527
103,2015-05-19,LOW,71.83,-417.326071156
104,2015-05-19,SPLS,16.41,1835.23212793
105,2015-05-19,TGT,77.92,379.067298474
106,2015-05-20,AAP,149.9,229.578952064
107,2015-05-20,MNRO,62.74,524.771855121
108,2015-05-20,BBY,33.78,826.524612659
109,2015-05-20,BKE,44.1,682.067297545
110,2015-05-20,CATO,38.66,747.105499511
111,2015-05-20,DLTR,76.26,-386.890541023
112,2015-05-20,LB,88.7,341.949585161
113,2015-05-20,SCVL,28.08,-1139.32195861
114,2015-05-20,SMRT,11.59,2572.10563384
115,2015-05-21,FL,64.0,495.48589152
116,2015-05-21,GPS,38.56,766.406193379
