,date,ticker,price,volume
0,2015-04-20,TTS,12.56,7961.78343949
1,2015-04-21,AN,64.9,1386.74884438
2,2015-04-21,CMG,692.52,129.960145555
3,2015-04-21,MCD,94.87,948.666596395
4,2015-04-21,RUSHA,27.51,3271.53762268
5,2015-04-21,TTS,14.85,-7961.78343949
6,2015-04-22,AN,65.83,-1386.74884438
7,2015-04-22,CMG,641.23,-129.960145555
8,2015-04-22,MCD,97.84,-948.666596395
9,2015-04-22,RUSHA,27.16,-3271.53762268
10,2015-04-22,CAB,53.76,1224.39078139
11,2015-04-22,CAKE,50.05,-1315.14981833
12,2015-04-22,HZO,26.69,2466.21387814
13,2015-04-22,ORLY,216.67,303.794934267
14,2015-04-23,BJRI,53.44,-1652.1005042
15,2015-04-23,CAB,57.32,-1224.39078139
16,2015-04-23,CAKE,52.42,1315.14981833
17,2015-04-23,HZO,24.4,-2466.21387814
18,2015-04-23,ORLY,228.31,-303.794934267
19,2015-04-24,BJRI,49.52,1652.1005042
20,2015-04-27,DFRG,20.54,-4966.58086467
21,2015-04-27,RCII,27.04,-3772.69123374
22,2015-04-28,BWLD,183.7,-666.392406926
23,2015-04-28,LL,33.42,-3662.96484597
24,2015-04-28,WOOF,54.08,2263.61474024
25,2015-04-28,DFRG,20.79,4966.58086467
26,2015-04-28,RCII,30.71,3772.69123374
27,2015-04-29,BWLD,160.25,666.392406926
28,2015-04-29,LL,26.76,3662.96484597
29,2015-04-29,WOOF,52.75,-2263.61474024
30,2015-04-30,CVS,99.29,-1049.51145913
31,2015-04-30,RUTH,14.55,-7161.9239022
32,2015-04-30,TUES,15.82,6586.97805165
33,2015-05-01,CVS,100.46,1049.51145913
34,2015-05-01,RUTH,15.22,7161.9239022
35,2015-05-01,TUES,14.24,-6586.97805165
36,2015-05-04,CHUY,22.15,4630.36607236
37,2015-05-04,HVT,21.37,4799.37335062
38,2015-05-04,MUSA,66.25,-1548.11484532
39,2015-05-04,TXRH,33.67,-3046.11251864
40,2015-05-05,CHUY,26.06,-4630.36607236
41,2015-05-05,HVT,21.41,-4799.37335062
42,2015-05-05,MUSA,60.98,1548.11484532
43,2015-05-05,TXRH,34.7,3046.11251864
44,2015-05-05,WEN,10.43,9833.42363401
45,2015-05-06,CHEF,19.25,4916.26624489
46,2015-05-06,SEAS,21.54,4393.59912786
47,2015-05-06,WEN,11.185,-9833.42363401
48,2015-05-07,CHEF,19.99,-4916.26624489
49,2015-05-07,SEAS,21.09,-4393.59912786
50,2015-05-07,SFM,30.21,2870.21464767
51,2015-05-08,SFM,27.23,-2870.21464767
52,2015-05-12,M,65.33,-1606.42242959
53,2015-05-13,JCP,8.71,-13253.9994326
54,2015-05-13,KSS,74.51,-1549.35357748
55,2015-05-13,PLCE,67.84,-1701.68536347
56,2015-05-13,M,63.73,1606.42242959
57,2015-05-14,DDS,124.2,-1125.90423053
58,2015-05-14,JWN,74.15,-1885.87060595
59,2015-05-14,JCP,8.04,13253.9994326
60,2015-05-14,KSS,64.62,1549.35357748
61,2015-05-14,PLCE,67.12,1701.68536347
62,2015-05-15,DDS,115.46,1125.90423053
63,2015-05-15,JWN,74.8,1885.87060595
64,2015-05-18,DKS,56.29,-1929.45307547
65,2015-05-18,HD,114.33,949.959884705
66,2015-05-18,RRGB,72.95,-1488.81307222
67,2015-05-18,WMT,79.92,1358.97039062
68,2015-05-19,AEO,15.74,6900.18510917
69,2015-05-19,CTRN,23.31,-4659.32705355
70,2015-05-19,LOW,71.83,1512.0271978
71,2015-05-19,SPLS,16.41,-6618.45908704
72,2015-05-19,TGT,77.92,-1393.85156081
73,2015-05-19,DKS,53.43,1929.45307547
74,2015-05-19,HD,112.34,-949.959884705
75,2015-05-19,RRGB,84.14,1488.81307222
76,2015-05-19,WMT,76.43,-1358.97039062
77,2015-05-20,AAP,149.9,-785.138919603
78,2015-05-20,BBY,33.78,-3484.08300913
79,2015-05-20,BKE,44.1,-2668.76018251
80,2015-05-20,CATO,38.66,-3044.29187916
81,2015-05-20,DLTR,76.26,1543.3034887
82,2015-05-20,LB,88.7,-1326.85821926
83,2015-05-20,MNRO,62.74,-1875.87382927
84,2015-05-20,SCVL,28.08,4191.3220815
85,2015-05-20,SMRT,11.59,-10154.6440076
86,2015-05-20,AEO,16.61,-6900.18510917
87,2015-05-20,CTRN,24.68,4659.32705355
88,2015-05-20,LOW,68.5,-1512.0271978
89,2015-05-20,SPLS,16.15,6618.45908704
90,2015-05-20,TGT,78.18,1393.85156081
91,2015-05-21,AAP,157.5,785.138919603
92,2015-05-21,BBY,35.11,3484.08300913
93,2015-05-21,BKE,43.1,2668.76018251
94,2015-05-21,CATO,38.53,3044.29187916
95,2015-05-21,DLTR,78.68,-1543.3034887
96,2015-05-21,LB,88.46,1326.85821926
97,2015-05-21,MNRO,59.03,1875.87382927
98,2015-05-21,SCVL,27.85,-4191.3220815
99,2015-05-21,SMRT,11.16,10154.6440076
100,2015-05-21,FL,64.0,-2582.37371481
101,2015-05-21,GPS,38.56,-4286.09745197
102,2015-05-21,HIBB,45.78,-3610.13363364
103,2015-05-21,ROST,50.775,-3254.98607086
104,2015-05-22,FL,63.46,2582.37371481
105,2015-05-22,GPS,38.01,4286.09745197
106,2015-05-22,HIBB,46.33,3610.13363364
107,2015-05-22,ROST,48.515,3254.98607086
108,2015-05-26,AZO,688.43,156.916308814
109,2015-05-26,AZO,688.43,-0.0
110,2015-05-26,DSW,34.25,-3154.04071464
111,2015-05-27,COST,145.42,742.854452458
112,2015-05-27,TITN,13.51,-7995.99515
113,2015-05-27,DSW,35.15,3154.04071464
114,2015-05-28,BIG,45.08,-2150.38689806
115,2015-05-28,GME,40.92,-2368.99905583
116,2015-05-28,COST,144.26,-742.854452458
117,2015-05-28,TITN,14.0,7995.99515
118,2015-05-29,BIG,43.9,2150.38689806
119,2015-05-29,GME,43.41,2368.99905583
120,2015-06-01,CBRL,139.79,687.640971277
121,2015-06-01,CONN,35.54,2704.70825478
122,2015-06-01,DG,72.81,-1320.22155438
123,2015-06-02,CBRL,146.55,-687.640971277
124,2015-06-02,CONN,38.07,-2704.70825478
125,2015-06-02,DG,74.98,1320.22155438
126,2015-06-03,FIVE,35.1,-2763.19030719
127,2015-06-04,FIVE,37.77,2763.19030719
128,2015-06-08,BURL,53.89,-1786.04950771
129,2015-06-09,BURL,49.35,1786.04950771
130,2015-06-09,FRAN,16.08,-6584.28039599
131,2015-06-10,FRAN,13.805,6584.28039599
132,2015-06-16,BOBE,47.5,2074.92627868
133,2015-06-17,BOBE,48.34,-2074.92627868
134,2015-06-17,PIR,12.01,-7385.7700594
135,2015-06-18,KMX,71.96,-1495.32520686
136,2015-06-18,PIR,12.0,7385.7700594
137,2015-06-19,KMX,69.27,1495.32520686
138,2015-06-22,SONC,34.22,-2897.22151652
139,2015-06-23,SONC,30.71,2897.22151652
140,2015-06-24,BBBY,70.34,1423.93865578
141,2015-06-25,BBBY,69.23,-1423.93865578
142,2015-06-25,FINL,27.0,3338.66150158
143,2015-06-26,FINL,28.25,-3338.66150158
144,2015-07-01,ISCA,36.98,-2715.49812181
145,2015-07-02,ISCA,34.55,2715.49812181
146,2015-07-20,TTS,14.6,6923.21825945
147,2015-07-21,AN,64.72,-1405.61013488
148,2015-07-21,CMG,673.07,-135.158435124
149,2015-07-21,HZO,21.63,-4205.78307578
150,2015-07-21,RUSHA,23.87,-3811.10548509
151,2015-07-21,TTS,13.77,-6923.21825945
152,2015-07-22,AN,62.88,1405.61013488
153,2015-07-22,CMG,725.82,135.158435124
154,2015-07-22,HZO,22.11,4205.78307578
155,2015-07-22,RUSHA,25.34,3811.10548509
156,2015-07-22,CAB,51.72,2646.80577425
